PC=00000000, SP=08049596, A=008172D0, B=0804958Cldc 00001000
PC=00000038, SP=00000FFB, A=00000000, B=00000001add 
PC=00000039, SP=00000FFB, A=00000001, B=00000001stl 00000002
PC=0000003A, SP=00000FFB, A=00000001, B=00000001ldc 00000001
PC=0000003B, SP=00000FFB, A=00000001, B=00000001ldl 00000005
PC=0000003C, SP=00000FFB, A=00000041, B=00000001add 
PC=0000003D, SP=00000FFB, A=00000042, B=00000001br FFFFFFD4
PC=00000012, SP=00000FFB, A=00000042, B=00000001ldl 00000004
PC=00000013, SP=00000FFB, A=0000000A, B=00000042ldl 00000002
PC=00000014, SP=00000FFB, A=00000001, B=0000000Asub 
PC=00000015, SP=00000FFB, A=00000009, B=0000000Aldc 00000001
PC=00000016, SP=00000FFB, A=00000001, B=00000009sub 
PC=00000017, SP=00000FFB, A=00000008, B=00000009brz 00000026
PC=00000018, SP=00000FFB, A=00000008, B=00000009ldc 00000001
PC=00000019, SP=00000FFB, A=00000001, B=00000008stl 00000001
PC=0000001A, SP=00000FFB, A=00000008, B=00000008ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000008ldl 00000002
PC=0000001C, SP=00000FFB, A=00000001, B=0000000Asub 
PC=0000001D, SP=00000FFB, A=00000009, B=0000000Aldl 00000001
PC=0000001E, SP=00000FFB, A=00000001, B=00000009sub 
PC=0000001F, SP=00000FFB, A=00000008, B=00000009brz 00000016
PC=00000020, SP=00000FFB, A=00000008, B=00000009ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000008ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000008ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5sub 
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECAldl 00000001
PC=00000033, SP=00000FFB, A=00000001, B=00000001add 
PC=00000034, SP=00000FFB, A=00000002, B=00000001stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001ldl 00000002
PC=0000001C, SP=00000FFB, A=00000001, B=0000000Asub 
PC=0000001D, SP=00000FFB, A=00000009, B=0000000Aldl 00000001
PC=0000001E, SP=00000FFB, A=00000002, B=00000009sub 
PC=0000001F, SP=00000FFB, A=00000007, B=00000009brz 00000016
PC=00000020, SP=00000FFB, A=00000007, B=00000009ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000007ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000007ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5sub 
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECAldl 00000001
PC=00000033, SP=00000FFB, A=00000002, B=00000001add 
PC=00000034, SP=00000FFB, A=00000003, B=00000001stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001ldl 00000002
PC=0000001C, SP=00000FFB, A=00000001, B=0000000Asub 
PC=0000001D, SP=00000FFB, A=00000009, B=0000000Aldl 00000001
PC=0000001E, SP=00000FFB, A=00000003, B=00000009sub 
PC=0000001F, SP=00000FFB, A=00000006, B=00000009brz 00000016
PC=00000020, SP=00000FFB, A=00000006, B=00000009ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000006ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000006ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5sub 
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECAldl 00000001
PC=00000033, SP=00000FFB, A=00000003, B=00000001add 
PC=00000034, SP=00000FFB, A=00000004, B=00000001stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001ldl 00000002
PC=0000001C, SP=00000FFB, A=00000001, B=0000000Asub 
PC=0000001D, SP=00000FFB, A=00000009, B=0000000Aldl 00000001
PC=0000001E, SP=00000FFB, A=00000004, B=00000009sub 
PC=0000001F, SP=00000FFB, A=00000005, B=00000009brz 00000016
PC=00000020, SP=00000FFB, A=00000005, B=00000009ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000005ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000005ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5sub 
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECAldl 00000001
PC=00000033, SP=00000FFB, A=00000004, B=00000001add 
PC=00000034, SP=00000FFB, A=00000005, B=00000001stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001ldl 00000002
PC=0000001C, SP=00000FFB, A=00000001, B=0000000Asub 
PC=0000001D, SP=00000FFB, A=00000009, B=0000000Aldl 00000001
PC=0000001E, SP=00000FFB, A=00000005, B=00000009sub 
PC=0000001F, SP=00000FFB, A=00000004, B=00000009brz 00000016
PC=00000020, SP=00000FFB, A=00000004, B=00000009ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000004ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000004ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5sub 
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECAldl 00000001
PC=00000033, SP=00000FFB, A=00000005, B=00000001add 
PC=00000034, SP=00000FFB, A=00000006, B=00000001stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001ldl 00000002
PC=0000001C, SP=00000FFB, A=00000001, B=0000000Asub 
PC=0000001D, SP=00000FFB, A=00000009, B=0000000Aldl 00000001
PC=0000001E, SP=00000FFB, A=00000006, B=00000009sub 
PC=0000001F, SP=00000FFB, A=00000003, B=00000009brz 00000016
PC=00000020, SP=00000FFB, A=00000003, B=00000009ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000003ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000003ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5sub 
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECAldl 00000001
PC=00000033, SP=00000FFB, A=00000006, B=00000001add 
PC=00000034, SP=00000FFB, A=00000007, B=00000001stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001ldl 00000002
PC=0000001C, SP=00000FFB, A=00000001, B=0000000Asub 
PC=0000001D, SP=00000FFB, A=00000009, B=0000000Aldl 00000001
PC=0000001E, SP=00000FFB, A=00000007, B=00000009sub 
PC=0000001F, SP=00000FFB, A=00000002, B=00000009brz 00000016
PC=00000020, SP=00000FFB, A=00000002, B=00000009ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000002ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000002ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5sub 
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECAldl 00000001
PC=00000033, SP=00000FFB, A=00000007, B=00000001add 
PC=00000034, SP=00000FFB, A=00000008, B=00000001stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001ldl 00000002
PC=0000001C, SP=00000FFB, A=00000001, B=0000000Asub 
PC=0000001D, SP=00000FFB, A=00000009, B=0000000Aldl 00000001
PC=0000001E, SP=00000FFB, A=00000008, B=00000009sub 
PC=0000001F, SP=00000FFB, A=00000001, B=00000009brz 00000016
PC=00000020, SP=00000FFB, A=00000001, B=00000009ldl 00000005
PC=00000021, SP=00000FFB, A=00000041, B=00000001ldnl 00000000
PC=00000022, SP=00000FFB, A=5EEDBED5, B=00000001ldc 00000000
PC=00000023, SP=00000FFB, A=00000000, B=5EEDBED5ldnl 00000001
PC=00000024, SP=00000FFB, A=0000000B, B=5EEDBED5sub 
PC=00000025, SP=00000FFB, A=5EEDBECA, B=5EEDBED5brlz 00000001
PC=00000026, SP=00000FFB, A=5EEDBECA, B=5EEDBED5br 0000000A
PC=00000031, SP=00000FFB, A=5EEDBECA, B=5EEDBED5ldc 00000001
PC=00000032, SP=00000FFB, A=00000001, B=5EEDBECAldl 00000001
PC=00000033, SP=00000FFB, A=00000008, B=00000001add 
PC=00000034, SP=00000FFB, A=00000009, B=00000001stl 00000001
PC=00000035, SP=00000FFB, A=00000001, B=00000001br FFFFFFE4
PC=0000001A, SP=00000FFB, A=00000001, B=00000001ldl 00000004
PC=0000001B, SP=00000FFB, A=0000000A, B=00000001ldl 00000002
PC=0000001C, SP=00000FFB, A=00000001, B=0000000Asub 
PC=0000001D, SP=00000FFB, A=00000009, B=0000000Aldl 00000001
PC=0000001E, SP=00000FFB, A=00000009, B=00000009sub 
PC=0000001F, SP=00000FFB, A=00000000, B=00000009brz 00000016
PC=00000036, SP=00000FFB, A=00000000, B=00000009ldc 00000001
PC=00000037, SP=00000FFB, A=00000001, B=00000000ldl 00000002
PC=00000038, SP=00000FFB, A=00000001, B=00000001add 
PC=00000039, SP=00000FFB, A=00000002, B=00000001stl 00000002
PC=0000003A, SP=00000FFB, A=00000001, B=00000001ldc 00000001
PC=0000003B, SP=00000FFB, A=00000001, B=00000001ldl 00000005
PC=0000003C, SP=00000FFB, A=00000041, B=00000001add 
PC=0000003D, SP=00000FFB, A=00000042, B=00000001br FFFFFFD4
PC=00000012, SP=00000FFB, A=00000042, B=00000001ldl 00000004
PC=00000013, SP=00000FFB, A=0000000A, B=00000042ldl 00000002
PC=00000014, SP=00000FFB, A=00000002, B=0000000Asub 
PC=00000015, SP=00000FFB, A=00000008, B=0000000Aldc 00000001
